Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
203273,,,LAMIACEAE,Stachys,,,,,Stachys officinalis,,,,officinalis,(L.) Trevis.,,,
203274,,,LAMIACEAE,Stachys,,,,,Stachys palustris,,,,palustris,L.,,,
203275,,,LAMIACEAE,Teucrium,,,,,Teucrium botrys,,,,botrys,L.,,,
203276,,,LAMIACEAE,Teucrium,,,,,Teucrium chamaedrys,,,,chamaedrys,L.,,,
203342,,,LAMIACEAE,Teucrium,,,,,Teucrium montanum,,,,montanum,L.,,,
203343,,,LAMIACEAE,Teucrium,,,,,Teucrium scorodonia,,,,scorodonia,L.,,,
203238,,,LAMIACEAE,Thymbra,,,,,Thymbra capitata,,,,capitata,(L.) Cav.,,,
203345,,,LAMIACEAE,Thymus,,,,,Thymus hyemalis,,,,hyemalis,Lange,,,
203347,,,LAMIACEAE,Thymus,,,,,Thymus serpyllum,,,,serpyllum,L.,,,
203349,,,LAMIACEAE,Thymus,,,,,Thymus zygis,,,,zygis,L.,,,
203350,,,LAMIACEAE,Vitex,,,,,Vitex agnus-castus,,,,agnus-castus,L.,,,
203351,,,LAURACEAE,Laurus,,,,,Laurus nobilis,,,,nobilis,L.,,,
175287,,,LENTIBULARIACEAE,Pinguicula,,,,,Pinguicula vulgaris,,,,vulgaris,L.,,,
203356,,,LILIACEAE,Lilium,,,,,Lilium candidum,,,,candidum,L.,,,
201585,,,LILIACEAE,Lilium,,,,,Lilium martagon,,,,martagon,L.,,,
203357,,,LYCOPODIACEAE,Huperzia,,,,,Huperzia selago,,,,selago,(L.) Bernh. ex Schrank &amp; Mart.,,,
165243,,,LYCOPODIACEAE,Lycopodium,,,,,Lycopodium clavatum,,,,clavatum,L.,,,
164323,,,LYTHRACEAE,Lythrum,,,,,Lythrum salicaria,,,,salicaria,L.,,,
164153,,,LYTHRACEAE,Trapa,,,,,Trapa natans,,,,natans,L.,,,
202921,,,MALVACEAE,Althaea,,,,,Althaea officinalis,,,,officinalis,L.,,,
203358,,,MALVACEAE,Malva,,,,,Malva neglecta,,,,neglecta,Wallr.,,,
203359,,,MALVACEAE,Malva,,,,,Malva sylvestris,,,,sylvestris,L.,,,
203360,,,MALVACEAE,Tilia,,,,,Tilia cordata,,,,cordata,Mill.,,,
203362,,,MALVACEAE,Tilia,,,,,Tilia tomentosa,,,,tomentosa,Moench,,,
203363,,,MELANTHIACEAE,Paris,,,,,Paris quadrifolia,,,,quadrifolia,L.,,,
203364,,,MELANTHIACEAE,Veratrum,,,,,Veratrum album,,,,album,L.,,,
163993,,,MENYANTHACEAE,Menyanthes,,,,,Menyanthes trifoliata,,,,trifoliata,L.,,,
